Comment,Designator,Footprint,LCSC Part #
22u ,"C1,C2",CP_Radial_D5.0mm_P2.50mm,
100n Unpolarized capacitor,"C3,C5,C7,C9,C11,C13,C14,C15,C17,C18,C19,C20,C22,C23,C31,C34,C37,C40,C42,C43,C44,C45,C46,C47,C48,C49",C_0805_2012Metric,
10u Unpolarized capacitor,"C4,C6,C8,C10",C_0805_2012Metric,
1u Unpolarized capacitor,"C12,C30,C35,C36,C41",C_0805_2012Metric,
1n Unpolarized capacitor,"C16,C21,C25,C27,C29",C_0805_2012Metric,
220p Unpolarized capacitor,C24,C_0805_2012Metric,
300p Unpolarized capacitor,"C26,C28",C_0805_2012Metric,
10n Unpolarized capacitor,"C32,C33,C38,C39",C_0805_2012Metric,
100p Unpolarized capacitor,"C50,C51,C52,C53",C_0805_2012Metric,
WHITE Light emitting diode,"D1,D2",LED_1206_3216Metric_Castellated,
D Diode,"D3,D4",D_SMB,
RED Light emitting diode,D5,LED_1206_3216Metric_Castellated,
BLUE Light emitting diode,D6,LED_1206_3216Metric_Castellated,
D_TVS_ALT ,"D7,D8",D_SMA,
5.6 Zener diode,"D9,D10",D_A-405_P7.62mm_Horizontal,
"BAV99 BAV99 High-speed switching diodes, SOT-23",D11,SOT-23,
"Polyfuse Resettable fuse, polymeric positive temperature coefficient","F1,F2",Fuse_1206_3216Metric,
MountingHole_Pad Mounting Hole with connection,H1,MountingHole_4.3mm_M4_DIN965_Pad,
MountingHole Mounting Hole without connection,"H2,H3,H4,H5,H6",MountingHole_4.3mm_M4,
Barrel_Jack_Switch DC Barrel Jack with an internal switch,"J1,J2",BarrelJack_Horizontal,
"Screw_Terminal_01x03 Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","J3,J25",TerminalBlock_bornier-3_P5.08mm,
"Conn_Coaxial coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","J4,J14,J15",BNC_TEConnectivity_1478204_Vertical,
"Conn_01x03_Male Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",J5,PinSocket_1x03_P2.54mm_Vertical,
"Conn_01x12_Male Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)","J6,J8,J9,J16,J17,J18,J19,J22",PinHeader_1x12_P2.54mm_Vertical,
"Conn_01x13_Male Generic connector, single row, 01x13, script generated (kicad-library-utils/schlib/autogen/connector/)",J7,PinHeader_1x13_P2.54mm_Vertical,
"Conn_01x04_Male Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","J10,J11,J12,J13,J20,J21",PinHeader_1x04_P2.54mm_Vertical,
"Screw_Terminal_01x02 Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",J23,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
"Screw_Terminal_01x03 Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",J24,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
"SolderJumper_2_Open Solder Jumper, 2-pole, open","JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,JP9,JP10,JP11",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
"SolderJumper_3_Bridged12 3-pole Solder Jumper, pins 1+2 closed/bridged",JP12,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,
636u Inductor,L1,L_Radial_D7.2mm_P3.00mm_MuRATA_1700,
"Q_NJFET_SDG N-JFET transistor, source/drain/gate","Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",SOT-23_Handsoldering,
470 Resistor,"R1,R2,R3,R4",R_1206_3216Metric,
0 Resistor,"R5,R21,R30,R36",R_0805_2012Metric,
100k Resistor,"R6,R10,R14,R18",R_0805_2012Metric,
10 Resistor,"R7,R8,R11,R12,R15,R16,R19,R20",R_0805_2012Metric,
DNP Resistor,"R9,R13,R17,R24,R27,R32",R_0805_2012Metric,
10k Resistor,"R22,R25,R28,R31,R37,R39,R42,R45,R46,R47,R53,R54,R55,R56",R_0805_2012Metric,
47 Resistor,"R23,R26,R29,R33,R38",R_0805_2012Metric,
470 Resistor,"R34,R51",R_0805_2012Metric,
4.7k Resistor,R35,R_0805_2012Metric,
1k Resistor,"R40,R41,R43,R44,R48,R49,R52",R_0805_2012Metric,
100 Resistor,R50,R_0805_2012Metric,
"SW_DIP_x04 4x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W6.73mm_P2.54mm_LowProfile_JPin,
TestPoint test point,"TP1,TP2,TP3,TP4",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,
"ADA4075-2 Ultralow Noise Amplifier at Lower Power, SOIC-8/LFCSP-8","U1,U4,U5,U6,U9",SO-8_3.9x4.9mm_P1.27mm,
"L7805 Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",U2,TO-220-3_Vertical,
"L7905 Negative 1.5A 35V Linear Regulator, Fixed Output -5V, TO-220/TO-263",U3,TO-220-3_Vertical,
CenterPosGraphic ,"U7,U8",CenterPos,
Transforme-P123_S456 ,X1,Transformer-PWB2010LC,
